"sites" "taxa" "age" "PAR" "lenght" "se" "V7"
"86" "ABBO" "Cyperaceae" 2750 38.1317207745767 8 3.75020863359449 1.1
"87" "ABBO" "Cyperaceae" 3250 33.4003791426615 8 4.59829834875457 1.1
"88" "ABBO" "Cyperaceae" 3750 33.1915390044567 6 5.29588617909576 1.1
"89" "ABBO" "Cyperaceae" 4250 34.7070314771975 6 10.6260240552304 1.1
"90" "ABBO" "Cyperaceae" 4750 31.5191053226379 6 4.86382737456224 1.1
"91" "ABBO" "Cyperaceae" 5250 23.1760408409873 6 4.92652427953421 1.1
"92" "ABBO" "Cyperaceae" 5750 34.1159304108248 5 12.7026091279591 1.1
"93" "ABBO" "Cyperaceae" 6250 23.2292784138369 5 7.0387917362692 1.1
"94" "ABBO" "Cyperaceae" 6750 27.7669476446966 5 3.07245194781441 1.1
"95" "ABBO" "Cyperaceae" 7250 51.2542121135591 5 5.97087431603471 1.2
"96" "ABBO" "Cyperaceae" 7750 40.8381216272254 4 3.48021238869467 1.1
"97" "ABBO" "Cyperaceae" 8250 46.9471825670316 5 9.88678189067103 1.1
"98" "ABBO" "Cyperaceae" 8750 20.6404147978191 5 1.86331241400535 1.1
"99" "ABBO" "Cyperaceae" 9250 44.4615018505051 4 13.6965364779955 1.1
"101" "ABBO" "Fagus" 200 1.23866937718353 8 0.824917618253505 1.1
"102" "ABBO" "Fagus" 750 0.992679207568273 4 0.992679207568273 1.1
"103" "ABBO" "Fagus" 1250 1.18363944796007 5 1.18363944796007 1.1
"104" "ABBO" "Fagus" 1750 2.19410719754773 5 1.35692601734777 1.1
"105" "ABBO" "Fagus" 2250 2.80785704035969 6 1.95943223780914 1.1
"106" "ABBO" "Fagus" 2750 0.56848170122512 8 0.56848170122512 1.1
"107" "ABBO" "Fagus" 3250 1.60793968980487 8 1.06479892949934 1.1
"121" "ABBO" "Fraxinus" 200 0.845850764030193 8 0.845850764030193 1.1
"122" "ABBO" "Fraxinus" 750 1.15652355377623 4 1.15652355377623 1.1
"123" "ABBO" "Fraxinus" 1250 0.591819723980036 5 0.591819723980036 1.1
"124" "ABBO" "Fraxinus" 1750 1.21698410978965 5 1.21698410978965 1.1
"125" "ABBO" "Fraxinus" 2250 2.71559510358008 6 1.2175000951247 1.1
"126" "ABBO" "Fraxinus" 2750 6.68348791701945 8 3.25359026209125 1.1
"127" "ABBO" "Fraxinus" 3250 7.37962765428708 8 3.29490758347835 1.1
"128" "ABBO" "Fraxinus" 3750 11.7039114219296 6 2.09372684876117 1.1
"129" "ABBO" "Fraxinus" 4250 12.4825031286842 6 3.45698260104762 1.1
"130" "ABBO" "Fraxinus" 4750 13.0180022494183 6 3.74558925598954 1.1
"131" "ABBO" "Fraxinus" 5250 6.70948623871102 6 3.64397445552667 1.1
"132" "ABBO" "Fraxinus" 5750 10.9510940598394 5 6.2233799314941 1.1
"133" "ABBO" "Fraxinus" 6250 14.7940320634779 5 4.13926186588509 1.1
"134" "ABBO" "Fraxinus" 6750 5.27050078893298 5 3.61396959805896 1.1
"135" "ABBO" "Fraxinus" 7250 14.4833191970863 5 9.83020931924959 1.1
"136" "ABBO" "Fraxinus" 7750 3.8681113267574 4 3.8681113267574 1.1
"137" "ABBO" "Fraxinus" 8250 7.16965170351422 5 7.16965170351422 1.1
"138" "ABBO" "Fraxinus" 8750 2.27319673177262 5 2.27319673177262 1.1
"139" "ABBO" "Fraxinus" 9250 1.97669281023705 4 1.97669281023705 1.1
"141" "ABBO" "Juniperus" 200 67.1614520632675 8 11.5084406659753 1.4
"142" "ABBO" "Juniperus" 750 60.3475170426218 4 12.2131285259662 1.4
"143" "ABBO" "Juniperus" 1250 51.6220045831905 5 6.10162582335598 1.3
"144" "ABBO" "Juniperus" 1750 53.2948732683191 5 11.0907638216518 1.3
"145" "ABBO" "Juniperus" 2250 43.0110626812213 6 4.40532954057666 1.3
"146" "ABBO" "Juniperus" 2750 48.6018662905293 8 7.55566611118703 1.3
"147" "ABBO" "Juniperus" 3250 85.660630251989 8 9.7717890657151 1.4
"148" "ABBO" "Juniperus" 3750 52.6038621778296 6 9.18996221629479 1.3
"149" "ABBO" "Juniperus" 4250 28.8581166217527 6 7.39511502007936 1.2
"150" "ABBO" "Juniperus" 4750 39.6103467448256 6 7.61034449781477 1.3
"151" "ABBO" "Juniperus" 5250 37.724906291154 6 20.1006949820098 1.3
"152" "ABBO" "Juniperus" 5750 25.6872711534094 5 6.84695921346839 1.2
"153" "ABBO" "Juniperus" 6250 22.8942963256304 5 4.60495199541329 1.2
"154" "ABBO" "Juniperus" 6750 26.7828890403824 5 14.7716041624444 1.2
"155" "ABBO" "Juniperus" 7250 46.0417690794123 5 11.7550331455256 1.3
"156" "ABBO" "Juniperus" 7750 37.2774023305247 4 11.7746174542596 1.3
"157" "ABBO" "Juniperus" 8250 47.5381339269347 5 19.7488520154027 1.3
"159" "ABBO" "Juniperus" 9250 15.4401671732961 4 9.5888908398219 1.2
"160" "ABBO" "Juniperus" 9750 3.05873566354725 1 0 1.1
"161" "ABBO" "Picea" 200 501.474234574326 8 68.5386856984575 2
"162" "ABBO" "Picea" 750 868.159172165367 4 128.969096575487 3
"163" "ABBO" "Picea" 1250 1071.68475937671 5 86.7864991510725 3
"165" "ABBO" "Picea" 2250 1015.99865307605 6 138.240816506096 3
"166" "ABBO" "Picea" 2750 276.803496336291 8 52.6843660888542 2
"167" "ABBO" "Picea" 3250 58.2197114571001 8 22.7893494178848 1
"168" "ABBO" "Picea" 3750 6.50178996125475 6 2.33709449988585 1
"169" "ABBO" "Picea" 4250 1.25189652927685 6 1.25189652927685 1
"170" "ABBO" "Picea" 4750 5.49859487108583 6 2.73156125595361 1
"171" "ABBO" "Picea" 5250 1.88593987822975 6 1.88593987822975 1
"174" "ABBO" "Picea" 6750 1.60534855672234 5 1.60534855672234 1
"178" "ABBO" "Picea" 8750 1.78807877002002 5 1.78807877002002 1
"181" "ABBO" "Pinus" 200 1560.86721589323 8 200.282099447866 2
"182" "ABBO" "Pinus" 750 2618.07226985872 4 177.371138471097 2
"183" "ABBO" "Pinus" 1250 2114.03725144929 5 289.814730976387 2
"184" "ABBO" "Pinus" 1750 2716.90652142182 5 244.071131980933 2
"185" "ABBO" "Pinus" 2250 2638.24661525091 6 164.293456668289 2
"186" "ABBO" "Pinus" 2750 3055.22975132905 8 244.376982645549 3
"187" "ABBO" "Pinus" 3250 4341.57203790325 8 295.738671061082 3
"188" "ABBO" "Pinus" 3750 4615.668072895 6 366.712371375773 3
"189" "ABBO" "Pinus" 4250 4552.32509836979 6 323.017815974079 3
"190" "ABBO" "Pinus" 4750 4831.77386301217 6 326.552064849219 3
"191" "ABBO" "Pinus" 5250 3945.00124532433 6 348.834147762587 3
"192" "ABBO" "Pinus" 5750 3446.87445006934 5 168.238696797611 3
"193" "ABBO" "Pinus" 6250 3497.29249087932 5 140.540324350337 3
"194" "ABBO" "Pinus" 6750 3336.26071269602 5 295.046744062513 3
"195" "ABBO" "Pinus" 7250 4056.91531306389 5 252.297369571352 3
"196" "ABBO" "Pinus" 7750 4230.66559697311 4 298.77794470274 3
"197" "ABBO" "Pinus" 8250 3625.1528663301 5 152.731015589798 3
"198" "ABBO" "Pinus" 8750 5812.78184094792 5 648.797492910863 4
"199" "ABBO" "Pinus" 9250 6586.01266227557 4 441.845742177093 4
"200" "ABBO" "Pinus" 9750 408.341211083558 1 0 1
"201" "ABBO" "Poaceae" 200 63.6562688241494 8 8.044156128113 1.2
"202" "ABBO" "Poaceae" 750 49.5736657060376 4 5.71582820282026 1.1
"203" "ABBO" "Poaceae" 1250 33.4932152328934 5 9.99639104075995 1.1
"204" "ABBO" "Poaceae" 1750 38.9640429586736 5 5.1913106775661 1.1
"205" "ABBO" "Poaceae" 2250 28.315933177654 6 5.87640980539257 1.1
"206" "ABBO" "Poaceae" 2750 30.7390278991232 8 5.50524007227772 1.1
"207" "ABBO" "Poaceae" 3250 30.2961522524605 8 5.75609196145577 1.1
"208" "ABBO" "Poaceae" 3750 20.566686123804 6 4.45932128193932 1.1
"209" "ABBO" "Poaceae" 4250 14.3031694825057 6 3.42716290820452 1.1
"210" "ABBO" "Poaceae" 4750 33.0831652056712 6 7.1666513108218 1.1
"211" "ABBO" "Poaceae" 5250 32.5759303581438 6 3.83456000095142 1.1
"212" "ABBO" "Poaceae" 5750 25.6921785578934 5 7.13623646557873 1.1
"213" "ABBO" "Poaceae" 6250 17.9593364655893 5 4.74188962767092 1.1
"214" "ABBO" "Poaceae" 6750 36.793078889049 5 4.9503545171439 1.1
"215" "ABBO" "Poaceae" 7250 31.301934218559 5 3.98757556449722 1.1
"216" "ABBO" "Poaceae" 7750 36.1238430632337 4 6.75233396999555 1.1
"217" "ABBO" "Poaceae" 8250 61.8724018745569 5 13.1690447920263 1.2
"218" "ABBO" "Poaceae" 8750 58.5666131501208 5 9.80916184288072 1.2
"219" "ABBO" "Poaceae" 9250 125.219522343994 4 21.6361771491389 1.2
"220" "ABBO" "Poaceae" 9750 12.234942654189 1 0 1.1
"221" "ABBO" "Quercus" 200 3.30604379644062 8 0.991791400897621 1.1
"222" "ABBO" "Quercus" 750 7.94976132073613 4 1.55457194961144 1.1
"223" "ABBO" "Quercus" 1250 20.9899736263957 5 3.40334787429402 1.1
"224" "ABBO" "Quercus" 1750 14.2050730346027 5 3.89329086483202 1.1
"225" "ABBO" "Quercus" 2250 12.2272793657862 6 2.77571782900672 1.1
"226" "ABBO" "Quercus" 2750 15.3721957717982 8 3.50429014690922 1.1
"227" "ABBO" "Quercus" 3250 16.2907939580656 8 3.40905260032702 1.1
"228" "ABBO" "Quercus" 3750 29.1108901316174 6 4.69130019206845 1.1
"229" "ABBO" "Quercus" 4250 35.4013419857688 6 6.54693234106784 1.1
"230" "ABBO" "Quercus" 4750 25.7097164288413 6 5.36616521577878 1.1
"231" "ABBO" "Quercus" 5250 12.9530062045157 6 4.89252262287212 1.1
"232" "ABBO" "Quercus" 5750 14.2365894942519 5 5.56834659773809 1.1
"233" "ABBO" "Quercus" 6250 10.2621260087174 5 5.20196212005261 1.1
"234" "ABBO" "Quercus" 6750 11.4471458040419 5 4.67509392572552 1.1
"235" "ABBO" "Quercus" 7250 15.9740501027057 5 2.26484371314553 1.1
"236" "ABBO" "Quercus" 7750 1.93405566337869 4 1.93405566337869 1.1
"237" "ABBO" "Quercus" 8250 7.37666971463808 5 3.64933654114477 1.1
"238" "ABBO" "Quercus" 8750 8.89032468034261 5 3.96543641309118 1.1
"239" "ABBO" "Quercus" 9250 8.82641060975979 4 3.3185882478155 1.1
"245" "ABBO" "Tilia" 2250 0.869392026677155 6 0.869392026677155 1.1
"247" "ABBO" "Tilia" 3250 0.88516756134522 8 0.88516756134522 1.1
"248" "ABBO" "Tilia" 3750 4.20193597213186 6 2.87526723284077 1.1
"249" "ABBO" "Tilia" 4250 1.25189652927685 6 1.25189652927685 1.1
"250" "ABBO" "Tilia" 4750 0.960889860103365 6 0.960889860103365 1.1
"251" "ABBO" "Tilia" 5250 2.52684483663896 6 1.67344956028191 1.1
"252" "ABBO" "Tilia" 5750 2.5807358244831 5 1.58142743029728 1.1
"253" "ABBO" "Tilia" 6250 3.18521198894697 5 1.95168214341625 1.1
"254" "ABBO" "Tilia" 6750 3.21372300088072 5 3.21372300088072 1.1
"255" "ABBO" "Tilia" 7250 2.05765518276138 5 2.05765518276138 1.1
"261" "ABBO" "total_concetration" 200 2893.1350734529 8 351.003599857616 1
"262" "ABBO" "total_concetration" 750 4577.9826617214 4 359.53883261542 1
"263" "ABBO" "total_concetration" 1250 4457.91104526627 5 402.0047892576 1
"264" "ABBO" "total_concetration" 1750 5909.54202171053 5 381.163226775621 2
"265" "ABBO" "total_concetration" 2250 6089.90710010151 6 383.308730550833 2
"266" "ABBO" "total_concetration" 2750 5873.01413914976 8 401.696625217708 2
"267" "ABBO" "total_concetration" 3250 8056.39595732638 8 480.401535676425 2
"268" "ABBO" "total_concetration" 3750 9177.06100714288 6 548.869769211721 2
"269" "ABBO" "total_concetration" 4250 9308.10777993644 6 618.755387166701 2
"270" "ABBO" "total_concetration" 4750 9109.06081123825 6 401.069179724669 2
"271" "ABBO" "total_concetration" 5250 9127.82775390456 6 658.565887580365 2
"272" "ABBO" "total_concetration" 5750 7772.95621982393 5 644.290410016522 2
"273" "ABBO" "total_concetration" 6250 9241.85236114017 5 289.511726480363 2
"274" "ABBO" "total_concetration" 6750 9721.86924336363 5 503.127887392081 2
"275" "ABBO" "total_concetration" 7250 12287.3731353849 5 764.277458042161 3
"276" "ABBO" "total_concetration" 7750 12399.2367026733 4 420.615530678767 3
"277" "ABBO" "total_concetration" 8250 11617.0688139637 5 1054.7277894832 2
"278" "ABBO" "total_concetration" 8750 10940.5392448039 5 923.204857683324 2
"279" "ABBO" "total_concetration" 9250 9639.12814616589 4 936.666531149743 2
"280" "ABBO" "total_concetration" 9750 530.690637625447 1 0 1
"281" "AKUV" "Alnus" 200 21.4395976124048 2 4.2893903807341 1.1
"282" "AKUV" "Alnus" 750 8.58000858000858 1 0 1.1
"283" "AKUV" "Alnus" 1250 21.4694680917519 2 7.1633164465445 1.1
"284" "AKUV" "Alnus" 1750 5.73148015474996 1 0 1.1
"285" "AKUV" "Alnus" 2250 14.3521499559349 2 2.8793262071897 1.1
"286" "AKUV" "Alnus" 2750 8.62564692351926 1 0 1.1
"287" "AKUV" "Alnus" 3250 23.0452184938948 2 8.62768677532495 1.1
"288" "AKUV" "Alnus" 3750 25.9890268553277 1 0 1.2
"289" "AKUV" "Alnus" 4250 43.3839479392625 1 0 1.2
"290" "AKUV" "Alnus" 4750 40.604959917549 2 8.73475855582215 1.2
"291" "AKUV" "Alnus" 5250 58.1479866259631 1 0 1.2
"292" "AKUV" "Alnus" 5750 78.7253451069932 2 14.6507856195897 1.3
"293" "AKUV" "Alnus" 6250 58.4795321637427 1 0 1.2
"294" "AKUV" "Alnus" 6750 61.585353555097 2 2.87406631012415 1.2
"295" "AKUV" "Alnus" 7250 73.5186002058521 1 0 1.3
"296" "AKUV" "Alnus" 7750 26.5165270854441 2 11.7694396352156 1.2
"297" "AKUV" "Alnus" 8250 29.5290122545401 1 0 1.2
"298" "AKUV" "Alnus" 8750 26.6123504058133 2 2.9472121126614 1.2
"299" "AKUV" "Alnus" 9250 11.8395737753441 1 0 1.1
"300" "AKUV" "Alnus" 9750 1.48038490007402 2 1.48038490007402 1.1
"301" "AKUV" "Alnus" 10250 1.48060408646728 2 1.48060408646728 1.1
"303" "AKUV" "Betula" 200 766.097338294048 2 0.0547486127559864 1.4
"304" "AKUV" "Betula" 750 709.280709280709 1 0 1.3
"305" "AKUV" "Betula" 1250 669.740901973675 2 74.1789835771115 1.3
"306" "AKUV" "Betula" 1750 733.629459807995 1 0 1.3
"307" "AKUV" "Betula" 2250 700.268525690254 2 39.728606103809 1.3
"308" "AKUV" "Betula" 2750 710.178263369753 1 0 1.3
"309" "AKUV" "Betula" 3250 648.286617707668 2 48.517298215165 1.3
"310" "AKUV" "Betula" 3750 837.424198671672 1 0 1.4
"311" "AKUV" "Betula" 4250 856.109906001446 1 0 1.4
"312" "AKUV" "Betula" 4750 872.624453123704 2 251.524467635386 1.4
"313" "AKUV" "Betula" 5250 973.978775984881 1 0 1.4
"314" "AKUV" "Betula" 5750 911.147094304051 2 142.252380455209 1.4
"315" "AKUV" "Betula" 6250 970.760233918129 1 0 1.4
"316" "AKUV" "Betula" 6750 851.909293039465 2 62.2424795945805 1.4
"317" "AKUV" "Betula" 7250 988.089986766652 1 0 1.4
"318" "AKUV" "Betula" 7750 984.236816291661 2 193.792928959409 1.4
"319" "AKUV" "Betula" 8250 1169.34888527979 1 0 1.4
"321" "AKUV" "Betula" 9250 1553.94405801391 1 0 1.5
"322" "AKUV" "Betula" 9750 1578.18893735587 2 245.64525953532 1.5
"323" "AKUV" "Betula" 10250 978.679301154873 2 143.618596387327 1.4
"324" "AKUV" "Betula" 10750 443.123651592707 2 62.396886501121 1.3
"327" "AKUV" "Corylus" 1250 1.43061516452074 2 1.43061516452074 1.1
"329" "AKUV" "Corylus" 2250 1.43410296859315 2 1.43410296859315 1.1
"330" "AKUV" "Corylus" 2750 2.87521564117309 1 0 1.1
"331" "AKUV" "Corylus" 3250 2.88350634371396 2 2.88350634371396 1.1
"333" "AKUV" "Corylus" 4250 8.67678958785249 1 0 1.2
"334" "AKUV" "Corylus" 4750 5.79710473971964 2 2.89476835893311 1.1
"336" "AKUV" "Corylus" 5750 5.8277220076531 2 2.90971792244738 1.1
"337" "AKUV" "Corylus" 6250 2.92397660818713 1 0 1.1
"338" "AKUV" "Corylus" 6750 1.46498681511866 2 1.46498681511866 1.1
"339" "AKUV" "Corylus" 7250 2.94074400823408 1 0 1.1
"340" "AKUV" "Corylus" 7750 2.94507436312767 2 2.94507436312767 1.1
"346" "AKUV" "Corylus" 10750 1.05757434747663 2 1.05757434747663 1.1
"347" "AKUV" "Cyperaceae" 200 57.1714431562722 2 0.00408571736985053 1.2
"348" "AKUV" "Cyperaceae" 750 42.9000429000429 1 0 1.1
"349" "AKUV" "Cyperaceae" 1250 32.9102931583416 2 15.7306224353638 1.1
"350" "AKUV" "Cyperaceae" 1750 34.3888809284998 1 0 1.1
"351" "AKUV" "Cyperaceae" 2250 78.892343677628 2 53.045129432941 1.2
"352" "AKUV" "Cyperaceae" 2750 43.1282346175963 1 0 1.1
"353" "AKUV" "Cyperaceae" 3250 34.5771682091308 2 0.0249079154366534 1.1
"354" "AKUV" "Cyperaceae" 3750 66.4164019636154 1 0 1.2
"355" "AKUV" "Cyperaceae" 4250 49.1684743311641 1 0 1.2
"356" "AKUV" "Cyperaceae" 4750 37.6824421451532 2 17.3660874796476 1.1
"357" "AKUV" "Cyperaceae" 5250 37.796191306876 1 0 1.1
"358" "AKUV" "Cyperaceae" 5750 40.8189125418467 2 5.8691528214448 1.1
"359" "AKUV" "Cyperaceae" 6250 38.0116959064327 1 0 1.1
"360" "AKUV" "Cyperaceae" 6750 43.9859442116335 2 5.82360750240115 1.1
"361" "AKUV" "Cyperaceae" 7250 52.9333921482135 1 0 1.2
"362" "AKUV" "Cyperaceae" 7750 22.1032586676707 2 1.4573362373507 1.1
"363" "AKUV" "Cyperaceae" 8250 35.4348147054481 1 0 1.1
"364" "AKUV" "Cyperaceae" 8750 44.3633901604737 2 20.7157401456939 1.1
"365" "AKUV" "Cyperaceae" 9250 50.3181885452124 1 0 1.2
"366" "AKUV" "Cyperaceae" 9750 57.7391756443587 2 1.4762203586021 1.2
"367" "AKUV" "Cyperaceae" 10250 75.5108084098312 2 10.3642286052709 1.2
"368" "AKUV" "Cyperaceae" 10750 49.7059943314014 2 13.7484665171961 1.2
"369" "AKUV" "Picea" 200 31.4444980218183 2 2.86081930236705 1.3
"370" "AKUV" "Picea" 750 28.6000286000286 1 0 1.3
"371" "AKUV" "Picea" 1250 20.0347566776548 2 2.85508595467705 1.2
"372" "AKUV" "Picea" 1750 28.6574007737498 1 0 1.3
"373" "AKUV" "Picea" 2250 14.350296577601 2 0.00926689166954997 1.2
"374" "AKUV" "Picea" 2750 14.3760782058654 1 0 1.2
"375" "AKUV" "Picea" 3250 15.8489065923281 2 1.45213146995555 1.2
"376" "AKUV" "Picea" 3750 14.4383482529599 1 0 1.2
"378" "AKUV" "Picea" 4750 1.44864551644213 2 1.44864551644213 1.1
"384" "AKUV" "Picea" 7750 2.94941749004572 2 2.94941749004572 1.1
"391" "AKUV" "Pinus" 200 1507.9034525374 2 93.011355924575 2
"392" "AKUV" "Pinus" 750 1295.5812955813 1 0 2
"393" "AKUV" "Pinus" 1250 1439.71088670491 2 8.07165979008494 2
"394" "AKUV" "Pinus" 1750 1361.22653675312 1 0 2
"395" "AKUV" "Pinus" 2250 1503.81470565922 2 148.27191416008 2
"396" "AKUV" "Pinus" 2750 1342.72570442783 1 0 2
"397" "AKUV" "Pinus" 3250 1456.6119888107 2 68.76286701398 2
"398" "AKUV" "Pinus" 3750 1553.56627201848 1 0 2
"399" "AKUV" "Pinus" 4250 1862.61749819234 1 0 2
"400" "AKUV" "Pinus" 4750 1712.30341511401 2 40.557659780965 2
"401" "AKUV" "Pinus" 5250 1430.44047099869 1 0 2
"402" "AKUV" "Pinus" 5750 1620.99057548845 2 123.97586746457 2
"403" "AKUV" "Pinus" 6250 1561.40350877193 1 0 2
"404" "AKUV" "Pinus" 6750 1579.2723438658 2 23.42323187402 2
"405" "AKUV" "Pinus" 7250 1843.84649316277 1 0 2
"406" "AKUV" "Pinus" 7750 1402.69144878049 2 267.165715112895 2
"407" "AKUV" "Pinus" 8250 1272.70042817068 1 0 2
"408" "AKUV" "Pinus" 8750 527.742027607609 2 246.718510376429 1
"409" "AKUV" "Pinus" 9250 106.556163978097 1 0 1
"410" "AKUV" "Pinus" 9750 51.8165401120963 2 10.3596256910125 1
"411" "AKUV" "Pinus" 10250 11.8448326917382 2 0 1
"412" "AKUV" "Pinus" 10750 10.5757434747663 2 6.34544608485974 1
"413" "AKUV" "Poaceae" 200 8.57530790170385 2 5.71653145802175 1.1
"415" "AKUV" "Poaceae" 1250 5.72450878287112 2 0.00204812478814498 1.1
"416" "AKUV" "Poaceae" 1750 14.3287003868749 1 0 1.1
"417" "AKUV" "Poaceae" 2250 22.9678880374973 2 11.4950642887521 1.1
"418" "AKUV" "Poaceae" 2750 20.1265094882116 1 0 1.1
"419" "AKUV" "Poaceae" 3250 10.0860452241397 2 1.44798015071613 1.1
"420" "AKUV" "Poaceae" 3750 20.2136875541438 1 0 1.1
"421" "AKUV" "Poaceae" 4250 8.67678958785249 1 0 1.1
"422" "AKUV" "Poaceae" 4750 14.4940231862747 2 5.7870140439151 1.1
"423" "AKUV" "Poaceae" 5250 8.72219799389446 1 0 1.1
"424" "AKUV" "Poaceae" 5750 2.91247997670016 2 2.91247997670016 1.1
"425" "AKUV" "Poaceae" 6250 2.92397660818713 1 0 1.1
"426" "AKUV" "Poaceae" 6750 7.33052480760463 2 1.45939608310735 1.1
